CompanyId,Ticker,MarketId,FullName,SectorName,ReportingCurrency,IsActive,IpoDate
1,ASELS,1,ASELSAN ELEKTRONİK SANAYİ VE TİCARET A.Ş.,,,,
2,THYAO,1,TÜRK HAVA YOLLARI A.O.,,,,
